Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
a3,com.nonononoki.alovoa,ToolsTest,test,7,1,0,19,1,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools; com.nonononoki.alovoa.DistanceUtils
a3,com.nonononoki.alovoa,ToolsTest,testUsersCompatible,47,1,0,37,1,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.entity.User; com.nonononoki.alovoa.DateUtils; com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,ToolsTest,testMinMaxAgePreferences,17,1,0,98,1,com.nonononoki.alovoa.entity.User,com.nonononoki.alovoa.entity.User; com.nonononoki.alovoa.DateUtils
a3,com.nonononoki.alovoa,ToolsTest,testLargeNumberToString,6,1,0,124,1,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,AlovoaApplication,main,4,1,1,21,0,,
a3,com.nonononoki.alovoa,AuthParams,AuthParams,8,1,6,14,0,,
a3,com.nonononoki.alovoa,AuthParams,AuthParams,7,1,5,23,0,,
a3,com.nonononoki.alovoa,AuthParams,getSecurityConfig,3,1,0,32,0,,
a3,com.nonononoki.alovoa,AuthParams,setSecurityConfig,3,1,1,36,0,,
a3,com.nonononoki.alovoa,AuthParams,getHttpSessionId,3,1,0,40,0,,
a3,com.nonononoki.alovoa,AuthParams,setHttpSessionId,3,1,1,44,0,,
a3,com.nonononoki.alovoa,AuthParams,getUsername,3,1,0,48,0,,
a3,com.nonononoki.alovoa,AuthParams,setUsername,3,1,1,52,0,,
a3,com.nonononoki.alovoa,AuthParams,getFirstName,3,1,0,56,0,,
a3,com.nonononoki.alovoa,AuthParams,setFirstName,3,1,1,60,0,,
a3,com.nonononoki.alovoa,AuthParams,getPage,3,1,0,64,0,,
a3,com.nonononoki.alovoa,AuthParams,setPage,3,1,1,68,0,,
a3,com.nonononoki.alovoa,AuthParams,getPassword,3,1,0,72,0,,
a3,com.nonononoki.alovoa,AuthParams,setPassword,3,1,1,76,0,,
a3,com.nonononoki.alovoa,Tools,Tools,3,1,0,29,0,,
a3,com.nonononoki.alovoa,Tools,cleanEmail,10,3,1,60,0,,
a3,com.nonononoki.alovoa,Tools,getUserLocale,9,2,1,71,0,,
a3,com.nonononoki.alovoa,Tools,ageToDate,3,1,1,88,0,com.nonononoki.alovoa.DateUtils,com.nonononoki.alovoa.DateUtils
a3,com.nonononoki.alovoa,Tools,calcUserAge,3,1,1,114,0,com.nonononoki.alovoa.DateUtils,com.nonononoki.alovoa.DateUtils
a3,com.nonononoki.alovoa,Tools,calcUserAge,3,1,1,118,0,,
a3,com.nonononoki.alovoa,Tools,inputStreamToString,3,1,1,122,0,,
a3,com.nonononoki.alovoa,Tools,getResourceText,4,1,1,126,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,resourceToB64,5,1,1,131,0,,
a3,com.nonononoki.alovoa,Tools,imageToB64,4,1,2,137,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,isTextContainingLineFromFile,10,3,2,142,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,Tools,binaryStringToBoolean,3,1,1,155,0,,
a3,com.nonononoki.alovoa,Tools,getDistanceToUser,3,1,2,160,0,com.nonononoki.alovoa.DistanceUtils,com.nonononoki.alovoa.DistanceUtils
a3,com.nonononoki.alovoa,Tools,getBase64Size,14,4,1,169,0,,
a3,com.nonononoki.alovoa,Tools,usersCompatible,8,2,2,200,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools; com.nonononoki.alovoa.entity.User
a3,com.nonononoki.alovoa,Tools,convertPrefAgeToRelativeYear,4,1,2,217,0,com.nonononoki.alovoa.DateUtils,com.nonononoki.alovoa.DateUtils
a3,com.nonononoki.alovoa,Tools,convertPrefAgeToExactYear,4,1,2,222,0,com.nonononoki.alovoa.DateUtils,com.nonononoki.alovoa.DateUtils
a3,com.nonononoki.alovoa,Tools,largeNumberToString,19,4,1,231,0,,
a3,com.nonononoki.alovoa,Tools,getCountryEmoji,8,2,1,250,0,,
a3,com.nonononoki.alovoa,Tools,isURLValid,10,1,1,259,0,,
a3,com.nonononoki.alovoa,Tools,getAuthParams,9,2,1,283,0,com.nonononoki.alovoa.AuthParams,com.nonononoki.alovoa.AuthParams; com.nonononoki.alovoa.component.CustomTokenBasedRememberMeServices; com.nonononoki.alovoa.config.SecurityConfig
a3,com.nonononoki.alovoa,Tools,getAuthParams,4,1,5,302,0,com.nonononoki.alovoa.Tools,com.nonononoki.alovoa.Tools
a3,com.nonononoki.alovoa,DateUtils,DateUtils,2,1,0,13,0,,
a3,com.nonononoki.alovoa,DateUtils,ageToDate,5,1,1,16,0,,
a3,com.nonononoki.alovoa,DateUtils,localDateToDate,3,1,1,22,0,,
a3,com.nonononoki.alovoa,DateUtils,dateToLocalDate,3,1,1,26,0,,
a3,com.nonononoki.alovoa,DateUtils,dateToLocalDateTime,3,1,1,30,0,,
a3,com.nonononoki.alovoa,DateUtils,calcUserAge,5,1,1,34,0,com.nonononoki.alovoa.DateUtils,com.nonononoki.alovoa.DateUtils
a3,com.nonononoki.alovoa,DateUtils,calcUserAge,5,1,1,40,0,com.nonononoki.alovoa.DateUtils,com.nonononoki.alovoa.DateUtils
a3,com.nonononoki.alovoa,DistanceUtils,DistanceUtils,2,1,0,4,0,,
a3,com.nonononoki.alovoa,DistanceUtils,calcDistanceKm,7,1,4,10,0,,
a3,com.nonononoki.alovoa.util,AuthTestUtil,setAuthTo,3,1,1,15,0,com.nonononoki.alovoa.entity.User,com.nonononoki.alovoa.entity.User; com.nonononoki.alovoa.util.AuthTestUtil
a3,com.nonononoki.alovoa.util,AuthTestUtil,setAuthTo,4,1,3,24,0,,
a3,com.nonononoki.alovoa.runner,TextEncryptorConverterTest,decrypt,5,1,0,33,1,com.nonononoki.alovoa.component.TextEncryptorConverter,com.nonononoki.alovoa.component.TextEncryptorConverter
a3,com.nonononoki.alovoa.runner,TextEncryptorConverterTest,encrypt,5,1,0,40,1,com.nonononoki.alovoa.component.TextEncryptorConverter,com.nonononoki.alovoa.component.TextEncryptorConverter
a3,com.nonononoki.alovoa.html,PrivacyResourceTest,test,3,1,0,17,1,com.nonononoki.alovoa.html.PrivacyResource,com.nonononoki.alovoa.html.PrivacyResource
a3,com.nonononoki.alovoa.html,DonateListResourceTest,test,3,1,0,17,1,com.nonononoki.alovoa.html.DonateListResource,com.nonononoki.alovoa.html.DonateListResource
a3,com.nonononoki.alovoa.html,UserProfileResourceTest,before,4,1,0,77,0,com.nonononoki.alovoa.service.MailService,com.nonononoki.alovoa.service.MailService
a3,com.nonononoki.alovoa.html,UserProfileResourceTest,after,3,1,0,85,0,,
